X,Y,Z,Ex,Ey,Ez
0,0,3,+0+0i,+0+0i,+0+0i
+0,+1,+3,-4.45043e-17+8.93616e-17i,-0.72421+1.45545i,-0.397433+0.781204i
+0,+2,+3,+1.10583e-17-1.06581e-16i,+0.178209-1.77347i,+0.193021-1.57017i
+0,+3,+3,+5.9825e-17+4.43047e-17i,+1.06259+0.696025i,+1.29895+1.139i
+0,+4,+3,+4.88781e-17-2.87294e-17i,+0.643418-0.516493i,+1.57705-0.944428i
+0,+5,+3,-1.99928e-17+2.83208e-17i,-0.506257+0.319605i,-1.12748+0.908699i
+0,+6,+3,-1.22225e-18-4.87844e-17i,+0.0522588-0.526454i,+0.164216-1.55107i
+0,+7,+3,+4.43523e-17-7.06305e-18i,+0.450069+0.0245089i,+1.3437+0.203742i
+0,+8,+3,+1.36859e-17-9.68853e-18i,+0.0875758+0.12724i,+0.146304+0.937194i
+0,+9,+3,-3.8535e-17+1.7243e-17i,-0.33457+0.186622i,-0.886318+0.640315i
+0,+10,+3,+7.24967e-18-2.34385e-17i,-0.0677342-0.155724i,-0.834273-0.17408i
+0,+11,+3,+1.66362e-17+7.35379e-18i,+0.0370643-0.0179656i,-0.546016-0.540058i
+0,+12,+3,+1.16896e-17+1.33468e-17i,+0.0535072+0.010703i,-0.188481-0.704363i
+0,+13,+3,+1.95474e-17+6.92522e-18i,+0.137716-0.0197212i,+0.132006-0.686544i
+0,+14,+3,+2.20346e-17-1.29812e-17i,+0.173857-0.132751i,+0.34522-0.557746i
+0,+15,+3,-4.10611e-18-1.9999e-17i,+0.0107057-0.163092i,+0.481617-0.379464i
+0,+16,+3,-5.26875e-18+1.21321e-17i,+0.00442723+0.0639088i,+0.54422-0.243718i
+0,+17,+3,+1.79186e-17-5.94103e-18i,+0.157449-0.0456041i,+0.516134-0.0748113i
+0,+18,+3,-9.86224e-18+1.75712e-18i,-0.0326137+0.0139788i,+0.545757+0.0295592i
+0,+19,+3,+1.49477e-17-1.37561e-18i,+0.130312-0.00161056i,+0.443501+0.130381i
+0,+20,+3,-6.79368e-18+6.62327e-18i,-0.021192+0.0562368i,+0.454396+0.176757i
+0,+21,+3,+6.52109e-18-7.32712e-18i,+0.0650737-0.0362703i,+0.357626+0.274949i
+0,+22,+3,+4.7045e-18+9.86707e-18i,+0.0491019+0.0820824i,+0.309883+0.246753i
+0,+23,+3,-6.26193e-18-3.27883e-19i,-0.0290013+0.0130879i,+0.306376+0.311486i
+0,+24,+3,+5.59694e-18-4.05366e-18i,+0.049374-0.0123896i,+0.207347+0.344582i
+0,+25,+3,+4.82454e-18+6.83013e-18i,+0.0418253+0.0619523i,+0.168067+0.298644i
+0,+26,+3,-4.47188e-18+4.42795e-18i,-0.0239383+0.0450429i,+0.180777+0.312154i
+0,+27,+3,-2.01489e-18-3.2788e-18i,-0.00869019-0.00854354i,+0.13578+0.354823i
+0,+28,+3,+4.51253e-18-1.32697e-18i,+0.0349267+0.00420163i,+0.0675018+0.340215i
+0,+29,+3,+3.47063e-18+4.54635e-18i,+0.0266826+0.0439974i,+0.0479755+0.29632i
+0,+30,+3,-1.81726e-18+4.8832e-18i,-0.0106929+0.045657i,+0.0619961+0.285309i
+0,+31,+3,-3.64235e-18+6.43205e-19i,-0.0240483+0.0157108i,+0.0574361+0.306627i
+0,+32,+3,-9.4506e-19-2.22532e-18i,-0.00601515-0.00477769i,+0.0221451+0.319971i
+0,+33,+3,+2.26668e-18-1.23732e-18i,+0.0157226+0.00142284i,-0.0169005+0.304273i
