X,Y,Z,Ex,Ey,Ez
-10,-10,3,+0.0804806-0.574061i,+0.0804806-0.574061i,-0.0774747+0.137325i
-10,-9,+3,+0.300396-0.510278i,+0.270356-0.45925i,-0.0600791+0.102056i
-10,-8,+3,-0.584539-1.15743i,-0.467631-0.925946i,+0.224098+0.0639782i
-10,-7,+3,+0.0564758+0.732123i,+0.0395331+0.512486i,+0.134795-0.295163i
-10,-6,+3,-0.717554+0.229375i,-0.430533+0.137625i,-0.0393597-0.161501i
-10,-5,+3,-0.352759+0.812879i,-0.17638+0.406439i,+0.285034-0.2208i
-10,-4,+3,-0.203103-0.878566i,-0.0812413-0.351426i,+0.254371+0.101924i
-10,-3,+3,+0.0952309+0.0183252i,+0.0285693+0.00549757i,-0.243548-0.0449671i
-10,-2,+3,+1.66575+1.32327i,+0.33315+0.264654i,-0.432618-0.4711i
-10,-1,+3,+1.11729-0.24188i,+0.111729-0.024188i,-0.387191+0.209014i
-10,+0,+3,-0.128115+1.04549i,+0+0i,+0.0256229-0.209098i
-10,+1,+3,+1.11729-0.24188i,-0.111729+0.024188i,-0.387191+0.209014i
-10,+2,+3,+1.66575+1.32327i,-0.33315-0.264654i,-0.432618-0.4711i
-10,+3,+3,+0.0952309+0.0183252i,-0.0285693-0.00549757i,-0.243548-0.0449671i
-10,+4,+3,-0.203103-0.878566i,+0.0812413+0.351426i,+0.254371+0.101924i
-10,+5,+3,-0.352759+0.812879i,+0.17638-0.406439i,+0.285034-0.2208i
-10,+6,+3,-0.717554+0.229375i,+0.430533-0.137625i,-0.0393597-0.161501i
-10,+7,+3,+0.0564758+0.732123i,-0.0395331-0.512486i,+0.134795-0.295163i
-10,+8,+3,-0.584539-1.15743i,+0.467631+0.925946i,+0.224098+0.0639782i
-10,+9,+3,+0.300396-0.510278i,-0.270356+0.45925i,-0.0600791+0.102056i
-9,-10,+3,+0.161541-0.473086i,+0.17949-0.525651i,+0.0366456+0.114354i
-9,-9,+3,+0.382612+0.585531i,+0.382612+0.585531i,-0.0913573-0.212415i
-9,-8,+3,+0.173346+0.669943i,+0.154085+0.595505i,-0.103389-0.349633i
-9,-7,+3,+0.701115+0.019936i,+0.545311+0.0155058i,-0.00232388-0.161619i
-9,-6,+3,-0.770576+0.30016i,-0.513718+0.200106i,+0.134027-0.289366i
-9,-5,+3,-0.90149-0.248963i,-0.500828-0.138313i,+0.247897+0.279205i
-9,-4,+3,+0.577864+0.711789i,+0.256828+0.316351i,-0.222219+0.0509763i
-9,-3,+3,-0.38913+1.02664i,-0.12971+0.342212i,+0.313646-0.240013i
-9,-2,+3,+0.650475-1.02649i,+0.14455-0.228108i,-0.090362+0.446274i
-9,-1,+3,+0.316532-0.986619i,+0.0351703-0.109624i,+0.14243+0.154279i
-9,+0,+3,+0.660131+0.739736i,+0+0i,-0.0805069+0.0470553i
-9,+1,+3,+0.316532-0.986619i,-0.0351703+0.109624i,+0.14243+0.154279i
-9,+2,+3,+0.650475-1.02649i,-0.14455+0.228108i,-0.090362+0.446274i
-9,+3,+3,-0.38913+1.02664i,+0.12971-0.342212i,+0.313646-0.240013i
-9,+4,+3,+0.577864+0.711789i,-0.256828-0.316351i,-0.222219+0.0509763i
-9,+5,+3,-0.90149-0.248963i,+0.500828+0.138313i,+0.247897+0.279205i
-9,+6,+3,-0.770576+0.30016i,+0.513718-0.200106i,+0.134027-0.289366i
-9,+7,+3,+0.701115+0.019936i,-0.545311-0.0155058i,-0.00232388-0.161619i
-9,+8,+3,+0.173346+0.669943i,-0.154085-0.595505i,-0.103389-0.349633i
-9,+9,+3,+0.372738+0.446467i,-0.372738-0.446467i,-0.069141+0.10048i
-8,-10,+3,-0.172384-0.560089i,-0.21548-0.700111i,-0.000233614+0.208999i
-8,-9,+3,+0.107387+0.452206i,+0.12081+0.508731i,+0.00241228-0.0249705i
-8,-8,+3,-0.659885-0.0729599i,-0.659885-0.0729599i,+0.164971+0.01824i
-8,-7,+3,-0.654521-0.20584i,-0.572706-0.18011i,-0.000783342-0.105285i
-8,-6,+3,-0.0272375+0.899909i,-0.0204281+0.674931i,-0.169398-0.371842i
-8,-5,+3,-0.781765-0.675234i,-0.488603-0.422021i,+0.218228+0.394715i
-8,-4,+3,-0.867104+0.139338i,-0.433552+0.0696688i,+0.00637864+0.0313996i
