E_x, E_y, E_z
+0.0017303267 +0.042553613I, +0.0017303267 +0.042553613I, -0.017303267 -0.42553613I
-0.025044024 +0.042541914I, -0.022539621 +0.038287723I, +0.22664841 -0.38500432I
+0.11198242 -0.090637803I, +0.089585934 -0.072510242I, -0.028713137 -0.71112168I
+0.12114695 -0.201275I, +0.084802865 -0.1408925I, +0.29202404 +0.2341814I
-0.10559926 -0.12761693I, -0.063359557 -0.076570158I, -0.79694266 -0.049687476I
+0.25017675 -0.14444805I, +0.12508837 -0.072224025I, +0.16182479 +0.39919268I
+0.2487642 +0.0078949783I, +0.099505681 +0.0031579913I, +0.26484357 -0.67108917I
-0.21839784 +0.048937638I, -0.065519353 +0.014681291I, -0.61979238 -0.565436I
-0.2168823 -0.32077049I, -0.04337646 -0.064154097I, +0.29654251 +0.020213575I
-0.32075145 +0.22691769I, -0.032075145 +0.022691769I, +0.32153111 +0.17484549I
-0.21691442 -0.3030445I, +2.9165804e-16 +8.3908172e-16I, -0.36095383 +0.35410424I
-0.32075145 +0.22691769I, +0.032075145 -0.022691769I, +0.32153111 +0.17484549I
-0.2168823 -0.32077049I, +0.04337646 +0.064154097I, +0.29654251 +0.020213575I
-0.21839784 +0.048937638I, +0.065519353 -0.014681291I, -0.61979238 -0.565436I
+0.2487642 +0.0078949783I, -0.099505681 -0.0031579913I, +0.26484357 -0.67108917I
+0.25017675 -0.14444805I, -0.12508837 +0.072224025I, +0.16182479 +0.39919268I
-0.10559926 -0.12761693I, +0.063359557 +0.076570158I, -0.79694266 -0.049687476I
+0.12114695 -0.201275I, -0.084802865 +0.1408925I, +0.29202404 +0.2341814I
+0.11198242 -0.090637803I, -0.089585934 +0.072510242I, -0.028713137 -0.71112168I
-0.025044024 +0.042541914I, +0.022539621 -0.038287723I, +0.22664841 -0.38500432I
-0.022539621 +0.038287723I, -0.025044024 +0.042541914I, +0.22664841 -0.38500432I
-0.019421245 +0.11063606I, -0.019421245 +0.11063606I, +0.32620301 +0.70703811I
-0.071999797 -0.22395427I, -0.06399982 -0.19907046I, +0.009476434 +0.1500573I
+0.063082243 -0.14271158I, +0.049063967 -0.11099789I, +0.76718642 -0.2704169I
+0.040082897 -0.24367798I, +0.026721931 -0.16245199I, -0.5932502 -0.20159519I
