X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-10, -10, 3, -28.65, 87.672, 1, 1, 1, 1
-10, -9, 3, -28.225, 120.48, 1, 1, 1, 1
-10, -8, 3, -23.611, 90.048, 2, 2, 2, 2
-10, -7, 3, -29.509, -150.61, 2, 2, 2, 2
-10, -6, 3, -22.502, 5.7041, 2, 2, 2, 2
-10, -5, 3, -28.221, -121.81, 2, 2, 2, 2
-10, -4, 3, -23.353, 116.04, 2, 2, 2, 2
-10, -3, 3, -21.953, 39.397, 2, 2, 2, 2
-10, -2, 3, -32.769, 166.51, 2, 2, 2, 2
-10, -1, 3, -30.224, -136.6, 2, 2, 2, 2
-10, 0, 3, -26.742, -34.124, 3, 3, 3, 2
-10, 1, 3, -30.224, -136.6, 2, 2, 2, 2
-10, 2, 3, -32.769, 166.51, 2, 2, 2, 2
-10, 3, 3, -21.953, 39.397, 2, 2, 2, 2
-10, 4, 3, -23.353, 116.04, 2, 2, 2, 2
-10, 5, 3, -28.221, -121.81, 2, 2, 2, 2
-10, 6, 3, -22.502, 5.7041, 2, 2, 2, 2
-10, 7, 3, -29.509, -150.61, 2, 2, 2, 2
-10, 8, 3, -23.611, 90.048, 2, 2, 2, 2
-10, 9, 3, -28.225, 120.48, 1, 1, 1, 1
-9, -10, 3, -28.225, 120.48, 1, 1, 1, 1
-9, -9, 3, -22.807, -113.44, 2, 2, 2, 2
-9, -8, 3, -42.136, -82.606, 2, 2, 2, 2
-9, -7, 3, -22.315, 158.41, 2, 2, 2, 2
-9, -6, 3, -24.654, 24.821, 2, 2, 2, 2
-9, -5, 3, -25.926, -36.752, 2, 2, 2, 2
-9, -4, 3, -21.627, -98.49, 2, 2, 2, 2
-9, -3, 3, -24.745, -120.36, 2, 2, 2, 2
-9, -2, 3, -26.758, 176.98, 2, 2, 2, 2
-9, -1, 3, -20.72, 135.18, 2, 2, 2, 2
-9, 0, 3, -20.07, -119.56, 3, 3, 3, 2
-9, 1, 3, -20.72, 135.18, 2, 2, 2, 2
